                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0824,                 4450.6,                 1.6753,                0.68895,                0.05974,                0.04458,                0.02014,                  1.773,                    inf,                 1.6723,             0.00046551,             0.00046551,             0.00046551
                      2,                 1.8247,                 587.43,                   1.46,                0.03745,                 0.0827,                0.01822,                0.00975,                 1.7692,                    inf,                   2.13,             0.00092319,             0.00092319,             0.00092319
                      3,                 1.6892,                 297.31,                 1.3819,                0.08486,                0.08499,                0.03108,                0.01519,                 1.6651,                    inf,                  1.595,               0.001362,               0.001362,               0.001362
                      4,                 1.7444,                 163.77,                 1.3699,                0.04313,                0.05881,                  0.016,                0.00805,                 1.8069,                    inf,                 2.0223,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.7412,                 152.56,                 1.3727,                0.03769,                0.05376,                0.01728,                0.00791,                 1.8236,                    inf,                 1.5689,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.6927,                 130.71,                 1.3841,                 0.1289,                0.06018,                0.03284,                0.01647,                 1.6904,                    inf,                 1.6569,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.6717,                 128.56,                 1.3545,                0.26045,                0.04365,                0.03337,                0.01521,                 1.6162,                    inf,                 1.5921,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.5977,                 108.66,                 1.3434,                0.13141,                0.05973,                0.03463,                0.01448,                 1.5532,                    inf,                 1.6004,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.5927,                  104.1,                 1.3157,                0.23971,                0.05008,                0.03941,                0.01692,                 1.6125,                    inf,                 1.4465,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.5696,                  101.2,                 1.2991,                0.08953,                0.06891,                0.04307,                0.01989,                  1.394,                    inf,                 1.4059,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.5557,                 100.21,                 1.2968,                0.05875,                0.04548,                 0.0321,                0.01413,                 1.5009,                    inf,                 1.4442,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.5106,                 87.584,                 1.2564,                0.47917,                0.02849,                0.02876,                0.01473,                 1.3903,                    inf,                 1.3834,              0.0011178,              0.0011178,              0.0011178
                     13,                 2.2949,                 133.16,                 2.4474,                0.12067,                0.10016,                0.02973,                0.01366,                  2.045,                    inf,                  2.256,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.7613,                 86.437,                 1.5614,                0.44416,                0.07994,                0.06152,                0.02857,                 1.6777,                    inf,                 1.6857,              0.0010612,              0.0010612,              0.0010612
                     15,                  1.646,                 79.701,                 1.4372,                0.12584,                0.09601,                0.06703,                0.02912,                 1.7048,                    inf,                 1.6016,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.5532,                 67.366,                 1.3516,                0.07059,                0.08545,                0.04266,                0.02151,                   1.48,                    inf,                 1.5233,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.5715,                  76.13,                 1.3242,                  0.106,                0.06891,                0.04441,                0.02375,                 1.4437,                    inf,                 1.4601,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.5353,                 71.424,                 1.3417,                0.10924,                0.06891,                0.05438,                 0.0267,                 1.4747,                    inf,                 1.5205,               0.000948,               0.000948,               0.000948
                     19,                 1.5643,                 71.483,                 1.3352,                0.10709,                0.06891,                0.05154,                0.02433,                 1.5221,                    inf,                 1.5761,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.4897,                 66.274,                 1.3386,                0.12437,                0.07212,                 0.0593,                0.02777,                 1.3624,                    inf,                 1.3919,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.5078,                 69.982,                 1.2956,                0.06197,                0.07212,                0.05549,                0.02594,                  1.443,                    inf,                 1.4267,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.4542,                 60.963,                 1.2655,                0.39717,                0.04824,                 0.0401,                 0.0207,                  1.471,                    inf,                 1.4612,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.4788,                 67.268,                  1.279,                0.08667,                0.06753,                0.06151,                0.03324,                 1.3072,                    inf,                 1.3756,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.8792,                 75.523,                 1.9007,                0.54697,                0.05146,                0.05833,                0.02636,                 1.6204,                    inf,                  2.047,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.6085,                 65.679,                 1.5682,                0.31032,                0.06525,                0.03625,                 0.0168,                 1.6062,                    inf,                 1.8586,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.5452,                 57.643,                 1.4806,                0.11846,                0.10198,                0.07815,                 0.0429,                 1.4519,                    inf,                  1.665,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.4806,                 53.438,                 1.4082,                 0.0905,                0.07167,                0.05374,                 0.0274,                 1.4239,                    inf,                 1.6479,             0.00069335,             0.00069335,             0.00069335
