                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1119,                0.66731,                 0.9975,                0.84684,                0.82657,                0.87193,                0.56792,                 1.0655,                0.64366,                 1.0873,              0.0011885,              0.0011885,              0.0011885
                     36,                 1.0686,                0.63629,                0.98405,                0.90015,                 0.7927,                0.87767,                0.56318,                 1.1102,                0.63418,                 1.1099,              0.0011814,              0.0011814,              0.0011814
                     37,                 1.0823,                0.64414,                0.98769,                 0.8754,                0.77603,                0.84829,                 0.5471,                 1.1149,                0.63196,                 1.1222,              0.0011744,              0.0011744,              0.0011744
                     38,                 1.0736,                0.62344,                0.99801,                0.88057,                0.81443,                0.86584,                0.56405,                 1.0959,                0.63272,                 1.1197,              0.0011673,              0.0011673,              0.0011673
                     39,                 1.0893,                0.64537,                 1.0009,                0.84465,                0.79894,                 0.8457,                0.54847,                 1.0952,                 0.6717,                 1.0909,              0.0011602,              0.0011602,              0.0011602
                     40,                 1.0812,                0.63763,                0.99382,                0.80571,                0.76168,                0.80841,                0.52218,                 1.1265,                0.73743,                 1.1232,              0.0011531,              0.0011531,              0.0011531
                     41,                 1.0791,                0.63334,                0.98931,                 0.8313,                0.83422,                0.86803,                0.55497,                 1.1426,                0.63353,                 1.1067,              0.0011461,              0.0011461,              0.0011461
                     42,                 1.0766,                0.64393,                 1.0023,                0.84836,                0.77825,                0.84642,                0.55342,                 1.0975,                0.64967,                 1.1049,               0.001139,               0.001139,               0.001139
                     43,                 1.0643,                0.61504,                0.98714,                0.88231,                0.81601,                0.87865,                0.57978,                 1.0834,                0.62223,                 1.0991,              0.0011319,              0.0011319,              0.0011319
                     44,                 1.0426,                0.61542,                 0.9877,                0.87981,                 0.8038,                0.87532,                0.56046,                 1.0737,                0.63548,                 1.0953,              0.0011248,              0.0011248,              0.0011248
                     45,                 1.0368,                 0.5935,                  0.988,                0.85336,                0.82792,                0.87386,                0.57647,                 1.0554,                0.61674,                 1.0727,              0.0011178,              0.0011178,              0.0011178
                     46,                 1.0341,                0.58979,                0.98608,                0.89242,                0.80961,                0.88769,                0.57924,                 1.1086,                0.61583,                 1.1098,              0.0011107,              0.0011107,              0.0011107
                     47,                 1.0885,                0.62094,                0.98558,                0.89147,                0.78541,                0.87629,                0.57985,                 1.0753,                0.60835,                 1.0989,              0.0011036,              0.0011036,              0.0011036
                     48,                 1.0346,                0.58742,                0.97505,                0.86915,                 0.8007,                0.85434,                0.54764,                 1.1012,                0.62633,                 1.1078,              0.0010965,              0.0010965,              0.0010965
                     49,                 1.0472,                0.59372,                0.97974,                0.89155,                0.82423,                0.88286,                0.57966,                 1.0689,                0.61694,                 1.0805,              0.0010895,              0.0010895,              0.0010895
                     50,                 1.0155,                0.59314,                0.97523,                0.88977,                0.84388,                0.88494,                0.57889,                 1.0788,                0.60181,                 1.0885,              0.0010824,              0.0010824,              0.0010824
                     51,                 1.0064,                0.57159,                0.96222,                0.87077,                0.82916,                0.87858,                0.57898,                 1.0605,                 0.5957,                 1.0842,              0.0010753,              0.0010753,              0.0010753
                     52,                 1.0276,                0.57759,                0.97384,                 0.8606,                0.80606,                0.86036,                0.57401,                 1.0451,                0.61929,                 1.0747,              0.0010682,              0.0010682,              0.0010682
                     53,                 1.0355,                0.58044,                0.97753,                0.86348,                0.83502,                0.89217,                0.59042,                 1.0758,                 0.5789,                 1.0975,              0.0010612,              0.0010612,              0.0010612
                     54,                 1.0465,                0.58998,                0.98086,                0.87401,                0.82485,                0.87273,                0.58246,                 1.0641,                0.58701,                 1.0784,              0.0010541,              0.0010541,              0.0010541
                     55,                 1.0316,                0.57301,                0.97501,                0.89413,                0.78337,                 0.8771,                0.58367,                 1.0554,                0.59644,                 1.0846,               0.001047,               0.001047,               0.001047
                     56,                   1.04,                0.58041,                0.96799,                0.91756,                0.83406,                0.88992,                0.59048,                 1.0808,                0.57186,                 1.0923,                0.00104,                0.00104,                0.00104
                     57,                 1.0341,                0.57164,                0.97022,                0.91881,                0.80604,                0.88053,                0.57172,                 1.1068,                0.59575,                 1.1298,              0.0010329,              0.0010329,              0.0010329
                     58,                 1.0333,                0.57721,                0.98136,                0.86561,                 0.8268,                 0.8895,                0.56876,                 1.1035,                0.60087,                 1.1236,              0.0010258,              0.0010258,              0.0010258
                     59,                 1.0278,                0.56705,                0.97546,                0.89077,                0.83186,                 0.8935,                0.59228,                 1.0658,                0.59108,                  1.091,              0.0010187,              0.0010187,              0.0010187
                     60,                 1.0274,                0.56736,                0.96906,                0.89305,                 0.8131,                0.88889,                0.58896,                 1.0592,                0.57828,                 1.0762,              0.0010117,              0.0010117,              0.0010117
                     61,                0.99293,                0.55177,                0.95884,                0.87442,                0.83344,                0.88312,                0.58418,                 1.0435,                0.57285,                 1.0703,              0.0010046,              0.0010046,              0.0010046
                     62,                 1.0017,                0.55255,                0.96859,                0.88854,                0.83125,                0.87594,                0.58037,                 1.0553,                0.60385,                 1.0954,             0.00099751,             0.00099751,             0.00099751
                     63,                0.97911,                0.55333,                0.96536,                0.90546,                0.82096,                0.89347,                0.59195,                 1.0472,                0.59357,                 1.0864,             0.00099044,             0.00099044,             0.00099044
                     64,                0.99254,                0.55623,                0.96174,                0.87151,                0.81761,                0.88337,                0.58518,                 1.0465,                0.57279,                 1.0834,             0.00098337,             0.00098337,             0.00098337
                     65,                0.97805,                0.52932,                0.95832,                0.88778,                 0.8034,                0.88102,                0.57845,                  1.056,                0.60604,                 1.0864,             0.00097629,             0.00097629,             0.00097629
                     66,                0.99041,                0.53981,                0.96069,                0.90554,                 0.8009,                0.85743,                0.56285,                 1.0928,                0.60751,                 1.1029,             0.00096922,             0.00096922,             0.00096922
                     67,                0.98761,                0.53783,                0.95787,                0.86694,                0.84167,                0.88173,                 0.5719,                 1.0683,                0.57146,                 1.0883,             0.00096215,             0.00096215,             0.00096215
                     68,                0.99213,                0.55213,                 0.9575,                0.86079,                0.79603,                0.84941,                0.56503,                 1.0581,                0.59758,                 1.0969,             0.00095507,             0.00095507,             0.00095507
                     69,                0.97375,                0.54211,                0.95754,                0.89346,                0.79731,                0.86543,                0.58035,                 1.0512,                0.57081,                 1.0836,               0.000948,               0.000948,               0.000948
                     70,                      1,                0.54226,                0.95958,                0.90014,                0.83391,                0.88673,                0.58113,                 1.0711,                0.58874,                  1.095,             0.00094093,             0.00094093,             0.00094093
                     71,                0.97665,                0.53601,                0.95944,                0.88214,                0.84785,                0.89413,                0.58736,                 1.0666,                0.56192,                 1.0799,             0.00093385,             0.00093385,             0.00093385
                     72,                0.96334,                0.52688,                0.95082,                0.87799,                0.81384,                0.88119,                0.59595,                 1.0662,                0.57931,                 1.0897,             0.00092678,             0.00092678,             0.00092678
                     73,                 0.9877,                0.53826,                0.96107,                0.87111,                0.85539,                0.89794,                0.60584,                 1.0575,                 0.5497,                 1.0766,              0.0009197,              0.0009197,              0.0009197
                     74,                0.97344,                0.53038,                0.95276,                 0.8932,                0.83732,                0.88997,                0.59449,                 1.0522,                0.54608,                 1.0843,             0.00091263,             0.00091263,             0.00091263
                     75,                0.98636,                 0.5305,                 0.9635,                0.91606,                0.78286,                0.88757,                 0.5961,                 1.0712,                0.56056,                 1.0881,             0.00090556,             0.00090556,             0.00090556
                     76,                0.97092,                0.51448,                0.94738,                0.91174,                0.83102,                0.88706,                0.59115,                 1.0645,                0.55506,                 1.0953,             0.00089848,             0.00089848,             0.00089848
                     77,                0.98179,                 0.5323,                0.95048,                0.90522,                0.82142,                0.87987,                0.59036,                 1.0355,                0.55252,                 1.0732,             0.00089141,             0.00089141,             0.00089141
                     78,                0.94923,                0.51843,                0.95005,                0.89342,                0.81363,                0.87203,                0.58239,                 1.0622,                0.56352,                 1.0835,             0.00088434,             0.00088434,             0.00088434
                     79,                0.96766,                0.51403,                0.94705,                0.90362,                0.83738,                0.88503,                0.59674,                  1.024,                0.53215,                 1.0811,             0.00087726,             0.00087726,             0.00087726
                     80,                0.95687,                 0.5196,                0.95408,                0.91411,                0.83511,                0.89715,                0.60185,                 1.0696,                0.53973,                 1.0816,             0.00087019,             0.00087019,             0.00087019
                     81,                0.94624,                0.51126,                0.94638,                0.90845,                0.82597,                0.88661,                 0.5895,                 1.0714,                 0.5519,                 1.1115,             0.00086312,             0.00086312,             0.00086312
                     82,                0.94623,                0.51618,                0.94971,                0.91013,                0.83878,                0.89247,                0.60811,                 1.0594,                0.56149,                 1.0973,             0.00085604,             0.00085604,             0.00085604
                     83,                0.97422,                0.53029,                0.94583,                0.89247,                0.82133,                0.87939,                0.59247,                 1.0844,                0.55981,                 1.1085,             0.00084897,             0.00084897,             0.00084897
                     84,                0.92576,                0.50397,                0.94704,                0.90816,                0.79803,                0.87769,                0.57707,                 1.0723,                0.56252,                 1.1098,              0.0008419,              0.0008419,              0.0008419
                     85,                0.93106,                0.51199,                0.94719,                0.90741,                0.81046,                0.88262,                0.57393,                 1.0925,                0.56507,                 1.1108,             0.00083482,             0.00083482,             0.00083482
                     86,                 0.9598,                0.51821,                0.95044,                0.92201,                0.82346,                0.88454,                0.58741,                 1.0677,                0.56439,                 1.0876,             0.00082775,             0.00082775,             0.00082775
                     87,                 0.9469,                0.50854,                0.93959,                0.91537,                0.80479,                0.87657,                0.57129,                 1.0772,                0.58292,                  1.092,             0.00082067,             0.00082067,             0.00082067
                     88,                0.95563,                0.50471,                0.94447,                0.88512,                0.85068,                0.88784,                0.58179,                 1.0563,                0.54197,                 1.0873,              0.0008136,              0.0008136,              0.0008136
                     89,                0.91831,                0.49251,                0.95118,                0.87539,                0.81508,                0.87822,                0.58186,                 1.0744,                0.56948,                 1.0959,             0.00080653,             0.00080653,             0.00080653
                     90,                0.92245,                0.49319,                0.94763,                0.86483,                0.80868,                0.85186,                0.57341,                 1.0606,                0.58359,                 1.1039,             0.00079945,             0.00079945,             0.00079945
                     91,                0.93817,                0.51582,                0.93435,                0.89726,                0.80745,                0.87495,                0.58534,                 1.0485,                0.56251,                 1.0845,             0.00079238,             0.00079238,             0.00079238
                     92,                0.92951,                0.50133,                0.93641,                0.86707,                0.84852,                0.88824,                  0.591,                 1.0618,                0.54747,                 1.0983,             0.00078531,             0.00078531,             0.00078531
                     93,                0.91126,                0.48862,                0.93682,                0.88059,                0.82306,                 0.8739,                0.58932,                  1.047,                0.55233,                  1.078,             0.00077823,             0.00077823,             0.00077823
                     94,                0.90958,                0.48572,                0.93432,                0.91395,                0.80644,                0.88006,                0.58237,                 1.0672,                0.54819,                  1.093,             0.00077116,             0.00077116,             0.00077116
                     95,                0.91215,                0.48097,                0.93319,                0.93303,                0.78518,                0.86354,                0.57875,                 1.0574,                0.54838,                 1.0979,             0.00076409,             0.00076409,             0.00076409
                     96,                0.91229,                0.48319,                0.92663,                0.90777,                0.80105,                0.86712,                0.57559,                 1.0632,                0.55785,                 1.0983,             0.00075701,             0.00075701,             0.00075701
                     97,                0.90811,                0.48152,                0.93186,                0.86504,                0.82583,                0.88493,                0.59079,                  1.057,                0.55064,                 1.0868,             0.00074994,             0.00074994,             0.00074994
                     98,                0.92404,                0.48917,                0.93562,                0.89005,                0.83309,                0.87381,                0.58983,                 1.0385,                0.54125,                 1.0794,             0.00074287,             0.00074287,             0.00074287
                     99,                0.89949,                0.47562,                0.92449,                0.89887,                0.79849,                0.87684,                0.58937,                 1.0438,                0.53842,                 1.0769,             0.00073579,             0.00073579,             0.00073579
                    100,                0.91186,                0.47875,                0.93148,                0.90112,                0.81852,                0.87288,                0.58567,                 1.0385,                0.53565,                 1.0798,             0.00072872,             0.00072872,             0.00072872
                    101,                 0.9144,                0.48007,                0.93357,                0.90944,                0.79445,                0.86235,                0.56913,                 1.0656,                0.56827,                 1.0957,             0.00072164,             0.00072164,             0.00072164
                    102,                0.91114,                0.48863,                0.92716,                0.92259,                0.79758,                0.87837,                 0.5808,                 1.0846,                0.55925,                 1.1043,             0.00071457,             0.00071457,             0.00071457
                    103,                0.88622,                0.47744,                0.92989,                 0.8891,                0.79857,                0.84485,                0.56701,                  1.071,                0.57182,                 1.0868,              0.0007075,              0.0007075,              0.0007075
                    104,                0.88688,                0.46732,                 0.9176,                 0.8991,                0.82064,                 0.8704,                0.58238,                 1.0443,                0.53932,                 1.0755,             0.00070042,             0.00070042,             0.00070042
                    105,                0.89206,                0.47636,                0.91624,                0.91757,                0.82291,                0.87974,                0.58887,                 1.0598,                0.54456,                 1.0938,             0.00069335,             0.00069335,             0.00069335
                    106,                0.90468,                0.48712,                0.93141,                0.90085,                0.82086,                0.86436,                0.58382,                 1.0491,                0.55897,                 1.0881,             0.00068628,             0.00068628,             0.00068628
                    107,                0.89219,                0.47034,                0.92628,                0.88589,                0.83599,                0.88906,                0.59576,                 1.0494,                0.53601,                 1.0952,              0.0006792,              0.0006792,              0.0006792
                    108,                0.87235,                0.46221,                0.92105,                0.90467,                0.81154,                0.87834,                0.58934,                 1.0497,                0.54654,                 1.0839,             0.00067213,             0.00067213,             0.00067213
                    109,                0.85911,                0.45554,                 0.9182,                0.90201,                0.81617,                0.87567,                0.59329,                 1.0498,                0.55483,                 1.0829,             0.00066506,             0.00066506,             0.00066506
                    110,                0.87298,                0.46045,                0.91803,                  0.911,                0.82387,                0.88174,                0.59663,                 1.0293,                 0.5558,                 1.0814,             0.00065798,             0.00065798,             0.00065798
                    111,                0.86469,                0.46082,                0.92077,                 0.9125,                0.82649,                0.88028,                0.59052,                 1.0463,                0.54353,                 1.0936,             0.00065091,             0.00065091,             0.00065091
                    112,                0.87504,                 0.4591,                0.92218,                0.87329,                0.82631,                0.88485,                0.60214,                 1.0549,                0.55584,                 1.0861,             0.00064384,             0.00064384,             0.00064384
                    113,                0.87199,                0.46677,                0.92584,                0.88372,                0.84316,                0.88072,                 0.5921,                 1.0667,                0.53242,                 1.0915,             0.00063676,             0.00063676,             0.00063676
                    114,                0.87772,                0.46638,                0.92706,                0.88686,                0.83211,                0.87605,                 0.5931,                 1.0518,                  0.542,                 1.0907,             0.00062969,             0.00062969,             0.00062969
