                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6423,                 2.5652,                 1.3505,                0.85573,                0.03043,                0.06582,                0.04451,                 1.2667,                 2.4329,                 1.1876,             0.00046839,             0.00046839,             0.00046839
                      2,                 1.3308,                 1.5208,                 1.1443,                0.46781,                0.06273,                0.05307,                0.02952,                 1.4124,                 2.1225,                 1.3538,             0.00092602,             0.00092602,             0.00092602
                      3,                 1.3267,                 1.3706,                 1.1412,                0.57469,                0.06329,                0.06833,                0.03894,                 1.2691,                 1.8822,                 1.2935,              0.0013648,              0.0013648,              0.0013648
                      4,                 1.2682,                 1.2094,                 1.1213,                0.43953,                0.05381,                0.04687,                0.03013,                 1.2762,                 1.1265,                 1.2577,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2523,                 1.1029,                  1.103,                 0.4806,                0.05471,                0.05617,                 0.0353,                 1.2112,                 1.1774,                 1.2029,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.2235,                 1.0205,                 1.0901,                0.44806,                0.04785,                0.05134,                0.03346,                 1.2666,                0.98062,                 1.2069,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.2049,                0.98533,                 1.0833,                0.57469,                0.05532,                0.06579,                 0.0442,                 1.2174,                0.93323,                 1.1746,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.2484,                 1.0051,                 1.1745,                0.66321,                0.08789,                0.10463,                0.06382,                 1.2696,                 1.0599,                 1.4411,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2098,                0.95609,                 1.1518,                 0.5795,                0.07793,                0.09421,                0.05967,                  1.253,                0.92769,                 1.4236,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.1864,                0.91585,                 1.1257,                0.53816,                0.06159,                0.08844,                0.05773,                 1.2267,                0.86984,                 1.3791,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.1501,                0.85109,                 1.1167,                0.46172,                0.04745,                0.05916,                0.03925,                 1.2609,                0.93399,                 1.4103,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.1339,                0.81722,                 1.0866,                0.67158,                0.12573,                0.14311,                0.09675,                 1.2056,                 0.7599,                 1.3787,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1071,                0.78621,                 1.0828,                 0.7604,                0.08311,                0.10769,                 0.0665,                 1.2155,                  0.735,                 1.3936,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.0947,                0.78054,                 1.0849,                0.51961,                0.07645,                 0.1085,                0.07162,                 1.2336,                0.84874,                 1.3594,              0.0010612,              0.0010612,              0.0010612
                     15,                  1.069,                0.80316,                 1.1328,                0.53078,                0.12861,                0.14291,                0.09411,                    nan,                0.81472,                    nan,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.0604,                0.72853,                 1.0788,                  0.705,                0.09806,                0.14063,                0.09161,                    nan,                0.74069,                    nan,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.0411,                0.72282,                 1.0734,                0.55686,                0.06558,                0.09267,                0.06033,                 1.1943,                0.81894,                 1.3597,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.0593,                0.72184,                 1.0878,                0.85335,                0.06803,                 0.1189,                 0.0812,                    nan,                    nan,                    nan,               0.000948,               0.000948,               0.000948
                     19,                 1.0925,                0.72029,                  1.087,                0.53109,                 0.0639,                0.08563,                 0.0598,                  1.145,                 0.6918,                 1.3286,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.0817,                0.71132,                 1.0846,                0.76856,                0.07989,                0.11039,                0.07603,                    nan,                0.65737,                    nan,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.0116,                0.69451,                 1.0382,                0.68348,                0.13013,                0.16845,                0.11344,                    nan,                0.75858,                    nan,             0.00086312,             0.00086312,             0.00086312
                     22,                0.99426,                0.64272,                 1.0384,                0.65245,                0.10937,                0.15838,                 0.1068,                 1.1146,                0.64893,                 1.3153,             0.00083482,             0.00083482,             0.00083482
                     23,                0.99975,                 0.6597,                 1.0355,                0.70845,                0.08143,                0.10335,                0.06977,                    nan,                0.74106,                    nan,             0.00080653,             0.00080653,             0.00080653
                     24,                0.98796,                0.62643,                 1.0356,                0.80497,                0.09304,                0.15163,                0.10303,                    nan,                0.64287,                    nan,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.0059,                0.62382,                 1.0351,                0.66709,                0.05895,                0.10843,                0.07474,                 1.1386,                0.63828,                 1.3098,             0.00074994,             0.00074994,             0.00074994
                     26,                0.95913,                0.65129,                  1.003,                0.89823,                0.14277,                0.19462,                0.13562,                    nan,                0.62442,                    nan,             0.00072164,             0.00072164,             0.00072164
                     27,                0.92391,                0.58146,                 1.0013,                0.58725,                 0.0985,                0.15024,                0.10651,                 1.1166,                0.59769,                 1.3127,             0.00069335,             0.00069335,             0.00069335
                     28,                0.92704,                0.57922,                 1.0002,                0.77189,                0.10608,                0.15907,                0.10592,                 1.1623,                0.64316,                 1.3413,             0.00066506,             0.00066506,             0.00066506
                     29,                0.92641,                0.56081,                  1.005,                0.66803,                0.09132,                0.12627,                0.08965,                    nan,                0.63422,                    nan,             0.00063676,             0.00063676,             0.00063676
                     30,                0.96685,                0.56285,                  1.007,                0.74759,                0.09848,                0.16441,                0.11857,                    nan,                0.60724,                    nan,             0.00060847,             0.00060847,             0.00060847
                     31,                0.98838,                0.59937,                 1.0219,                0.74029,                0.10998,                0.15906,                0.11453,                    nan,                0.59958,                    nan,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.0207,                0.61778,                 1.0449,                0.82381,                0.12808,                0.19561,                0.14675,                    nan,                0.58493,                    nan,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.0482,                0.63506,                 1.0377,                  0.884,                0.11808,                0.17609,                 0.1293,                    nan,                0.57821,                    nan,             0.00052359,             0.00052359,             0.00052359
                     34,                 0.9475,                0.80889,                 1.0451,                0.83339,                0.12738,                0.14771,                0.10074,                    nan,                0.79108,                    nan,             0.00049529,             0.00049529,             0.00049529
                     35,                0.88705,                0.59873,                 1.0243,                0.75894,                0.12212,                0.18758,                0.12815,                    nan,                0.64124,                    nan,               0.000467,               0.000467,               0.000467
                     36,                0.88791,                 0.5765,                 1.0126,                0.77069,                0.12273,                0.18502,                 0.1316,                    nan,                  0.625,                    nan,              0.0004387,              0.0004387,              0.0004387
                     37,                0.86216,                0.53603,                0.99553,                 0.8223,                 0.1298,                0.21184,                 0.1558,                    nan,                0.61555,                    nan,             0.00041041,             0.00041041,             0.00041041
                     38,                0.89973,                0.54215,                0.99802,                0.68491,                0.12382,                 0.1847,                0.13259,                    nan,                0.57575,                    nan,             0.00038211,             0.00038211,             0.00038211
                     39,                0.91265,                0.54661,                0.99852,                  0.941,                0.10453,                0.18472,                0.13398,                    nan,                0.56663,                    nan,             0.00035382,             0.00035382,             0.00035382
                     40,                0.91636,                0.55006,                 1.0104,                0.77834,                0.21418,                0.26558,                 0.1903,                    nan,                0.57433,                    nan,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.0423,                0.78845,                 1.1117,                0.78594,                0.14666,                 0.1881,                0.12417,                    nan,                0.60476,                    nan,             0.00029723,             0.00029723,             0.00029723
                     42,                0.97587,                0.59121,                 1.0716,                0.73755,                0.13158,                0.16958,                 0.1174,                    nan,                0.58456,                    nan,             0.00026894,             0.00026894,             0.00026894
                     43,                0.95951,                0.54737,                 1.0597,                0.80104,                0.14652,                0.18769,                0.13025,                    nan,                0.55272,                    nan,             0.00024064,             0.00024064,             0.00024064
                     44,                0.94635,                0.53001,                 1.0441,                0.62236,                0.12082,                0.17117,                0.12307,                    nan,                0.56679,                    nan,             0.00021235,             0.00021235,             0.00021235
                     45,                0.95509,                0.53522,                 1.0405,                0.86358,                0.23753,                0.28752,                0.20502,                    nan,                0.53972,                    nan,             0.00018406,             0.00018406,             0.00018406
                     46,                0.92945,                0.50974,                 1.0293,                0.94033,                0.22291,                0.28537,                0.20647,                    nan,                0.54077,                    nan,             0.00015576,             0.00015576,             0.00015576
                     47,                 0.9162,                0.49948,                 1.0343,                0.80767,                0.23673,                0.29715,                0.21549,                    nan,                0.52851,                    nan,             0.00012747,             0.00012747,             0.00012747
                     48,                0.92281,                0.50244,                 1.0351,                0.92433,                0.24733,                0.31454,                0.22199,                    nan,                 0.5325,                    nan,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 0.8947,                0.49188,                 1.0224,                0.80061,                0.16745,                0.22248,                0.15839,                    nan,                0.52123,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.89664,                0.48723,                 1.0157,                0.91819,                0.19229,                0.26146,                0.18725,                    nan,                0.52303,                    nan,             4.2584e-05,             4.2584e-05,             4.2584e-05
