                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3763,                 1.6312,                  1.109,                0.64157,                  0.167,                0.18602,                 0.1179,                 1.1932,                 1.4424,                 1.0484,             0.00047092,             0.00047092,             0.00047092
                      2,                 1.3051,                 1.2611,                 1.0705,                0.66919,                0.15803,                0.17258,                0.10375,                 1.2055,                 1.1997,                 1.1022,              0.0009285,              0.0009285,              0.0009285
                      3,                 1.2756,                 1.1664,                 1.0552,                0.58208,                0.12587,                0.13368,                 0.0805,                 1.2017,                 1.1002,                 1.1043,              0.0013672,              0.0013672,              0.0013672
                      4,                 1.2809,                 1.1177,                 1.0564,                0.57761,                0.12495,                0.13952,                0.08644,                 1.1464,                 1.0202,                 1.0563,              0.0013441,              0.0013441,              0.0013441
