                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6897,                 2.5642,                 1.3096,                0.02155,                0.12312,                0.09246,                 0.0576,                 1.2723,                  5.403,                0.71127,             0.00046551,             0.00046551,             0.00046551
                      2,                 1.3158,                 1.3342,                 1.0716,                0.63195,                0.06571,                 0.0788,                0.04959,                 1.3124,                 3.8335,                0.75457,             0.00092319,             0.00092319,             0.00092319
                      3,                 1.2752,                 1.1627,                   1.07,                 0.5347,                0.10015,                0.09193,                0.05689,                 1.2359,                 2.7441,                 0.7435,               0.001362,               0.001362,               0.001362
                      4,                 1.2565,                 1.0689,                  1.046,                0.63721,                0.07856,                0.08248,                0.05708,                 1.1519,                 2.8716,                0.71204,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2398,                 1.0033,                 1.0221,                0.85821,                0.06615,                0.07577,                0.05462,                 1.1437,                 1.7301,                0.69838,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.1845,                0.93347,                 1.0179,                  0.653,                0.06018,                0.07175,                0.04687,                 1.1306,                 1.7024,                 0.6848,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.1815,                0.89094,                 1.0144,                0.53762,                0.04823,                0.05478,                0.03808,                 1.1625,                 1.7282,                0.71635,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.1636,                0.86654,                 1.0162,                0.44241,                0.04548,                0.05266,                 0.0365,                 1.1528,                 1.5512,                0.70238,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.1935,                0.85896,                 1.0096,                0.51033,                0.04548,                0.05812,                0.04043,                 1.0914,                 1.4759,                0.67784,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.1474,                0.79066,                0.99815,                 0.7651,                0.04548,                0.06703,                0.04411,                 1.1243,                 1.4996,                0.69258,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.1515,                0.78977,                 1.0045,                 0.5189,                0.04915,                0.07237,                0.04793,                 1.1276,                 1.4386,                0.68523,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.1364,                0.74966,                0.98701,                0.43421,                0.04548,                0.05888,                0.04242,                 1.0933,                 1.3925,                0.69161,              0.0011178,              0.0011178,              0.0011178
