                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6979,                 4.8744,                 1.4081,                0.72098,                0.03495,                0.05737,                0.03334,                 1.3484,                 5.0811,                 1.2681,             0.00046839,             0.00046839,             0.00046839
                      2,                 1.3694,                  2.843,                 1.2088,                0.44834,                0.05336,                0.05314,                0.02909,                 1.4063,                 4.0738,                 1.3634,             0.00092602,             0.00092602,             0.00092602
                      3,                  1.379,                 2.6189,                 1.2197,                0.41545,                0.04531,                0.04406,                0.02648,                  1.421,                 3.7755,                 1.4062,              0.0013648,              0.0013648,              0.0013648
                      4,                 1.3507,                 2.2637,                 1.1974,                0.44399,                0.04841,                0.05269,                0.03324,                 1.5455,                 5.5214,                 1.6449,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3175,                 2.1152,                 1.1856,                0.42935,                0.05471,                0.05583,                0.03644,                 1.2362,                 3.0779,                 1.3448,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.3031,                 2.0228,                 1.1622,                 0.3634,                0.05083,                0.05122,                0.03171,                 1.3145,                 3.0202,                 1.3413,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.2797,                 1.9586,                 1.1634,                0.64204,                0.04906,                0.06338,                 0.0419,                 1.2281,                 2.2729,                 1.2886,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.2815,                 1.7208,                 1.1281,                0.38645,                0.04045,                0.05159,                0.03416,                 1.2498,                 2.3781,                 1.2605,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2958,                 1.8523,                 1.2057,                0.55963,                0.12157,                0.12869,                0.07826,                 1.3142,                 2.3903,                 1.4005,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.2507,                  1.806,                 1.1591,                 0.5182,                0.07699,                0.07973,                0.05054,                 1.1746,                 2.1511,                 1.2637,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.2389,                 1.6696,                 1.1444,                 0.3892,                0.06949,                0.07752,                0.04482,                 1.3775,                 2.5078,                 1.4192,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.2104,                 1.4763,                 1.1288,                0.49466,                0.05469,                 0.0735,                0.05057,                 1.1511,                 2.0423,                 1.2822,              0.0011178,              0.0011178,              0.0011178
                     13,                    1.2,                 1.4941,                 1.1345,                0.58184,                0.05892,                0.08978,                0.05895,                 1.1551,                 1.9691,                 1.2491,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.1722,                 1.3503,                 1.1074,                0.55432,                0.06216,                  0.075,                0.04794,                 1.1995,                 2.0875,                 1.2898,              0.0010612,              0.0010612,              0.0010612
                     15,                 2.3333,                 4.8493,                 21.916,                0.55436,                0.09736,                0.10344,                0.05999,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.3903,                 1.8331,                 3.1449,                 0.5502,                0.07177,                0.10304,                0.06512,                  1.431,                 2.5545,                 1.7599,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.3041,                 1.6393,                 1.8098,                0.53237,                0.08021,                0.08692,                0.05296,                    nan,                 2.4341,                    nan,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.2356,                 1.3852,                 1.2855,                0.51034,                 0.0586,                0.07572,                0.04957,                 1.2462,                 2.0341,                 1.4974,               0.000948,               0.000948,               0.000948
                     19,                 1.1945,                 1.3182,                 1.1927,                0.70969,                0.06376,                0.09554,                0.06506,                 1.2107,                 2.0184,                 1.4386,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.1711,                 1.1963,                 1.1726,                0.54892,                0.05651,                0.06482,                0.04212,                 1.2798,                 2.1654,                 1.4737,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.1845,                 1.3787,                 1.1944,                0.48989,                 0.0607,                 0.0815,                0.05362,                    nan,                 1.8144,                    nan,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.1945,                 1.3163,                 1.1978,                0.59677,                0.12553,                0.14889,                0.09945,                 1.1866,                 1.7044,                 1.4519,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.1368,                 1.1876,                 1.1676,                0.59302,                0.07343,                0.09113,                0.06083,                 1.1759,                 1.8976,                 1.4067,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.1526,                 1.1967,                 1.8383,                0.62017,                0.07222,                0.10744,                0.06819,                 1.1874,                 1.7277,                 1.3872,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.1147,                   1.11,                 1.1486,                0.59435,                0.07622,                0.11984,                0.08243,                 1.1893,                 1.6085,                 1.4132,             0.00074994,             0.00074994,             0.00074994
                     26,                  1.095,                 1.0347,                 1.1273,                0.64648,                0.05631,                0.08568,                0.05834,                 1.1686,                 1.5577,                 1.4088,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.0763,                 0.9794,                 1.1147,                0.62294,                0.06447,                0.09713,                0.06919,                 1.1454,                 1.5804,                 1.3854,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.0785,                 1.1119,                 1.1306,                0.49332,                0.06857,                0.09977,                0.06642,                 1.1636,                 1.6088,                 1.3992,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.1316,                 1.1112,                 1.1293,                0.83176,                0.06791,                0.11774,                0.08002,                 1.1743,                 1.5106,                 1.4275,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.0857,                 1.0261,                 1.1087,                0.55087,                0.14633,                0.16423,                0.11375,                 1.1105,                 1.4191,                 1.3382,             0.00060847,             0.00060847,             0.00060847
                     31,                  1.051,                0.98576,                 1.1067,                0.69218,                0.07159,                0.10609,                0.07551,                  1.108,                 1.5526,                 1.3421,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.0633,                0.96209,                 1.1121,                0.74337,                 0.0704,                0.10719,                0.07339,                 1.1534,                 1.4305,                 1.3787,             0.00055188,             0.00055188,             0.00055188
                     33,                  1.025,                0.87686,                 1.0982,                0.60924,                0.08396,                0.13859,                0.09203,                 1.1612,                 1.4322,                 1.3672,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.0237,                 0.8651,                  1.085,                0.63213,                  0.059,                0.09835,                0.06888,                 1.1352,                 1.2827,                 1.3908,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.0091,                0.82973,                  1.073,                0.70741,                0.07742,                0.13625,                 0.0935,                 1.1235,                 1.4592,                 1.3768,               0.000467,               0.000467,               0.000467
                     36,                 1.0062,                0.92225,                  1.086,                0.73328,                0.05862,                0.11011,                0.07611,                 1.1043,                 1.2923,                 1.3564,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.0476,                0.88192,                 1.0813,                0.57894,                0.07668,                0.11963,                0.08121,                 1.1211,                  1.387,                 1.3568,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.0075,                0.82927,                  1.068,                0.63801,                0.14031,                0.17569,                0.12294,                 1.1268,                 1.2111,                 1.3765,             0.00038211,             0.00038211,             0.00038211
                     39,                0.97522,                 0.8002,                 1.0605,                0.66206,                0.09808,                0.13892,                0.09727,                 1.0849,                  1.237,                 1.3467,             0.00035382,             0.00035382,             0.00035382
                     40,                0.98199,                0.78476,                 1.0704,                0.75329,                0.08661,                0.13689,                0.09666,                 1.1184,                 1.2426,                 1.3546,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.0808,                0.86347,                 1.1383,                0.60511,                0.07386,                0.11502,                0.08098,                 1.0908,                  1.288,                 1.3324,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.0556,                0.85774,                 1.1196,                0.53237,                0.06951,                0.10238,                0.07161,                 1.1076,                  1.378,                 1.3499,             0.00026894,             0.00026894,             0.00026894
                     43,                  1.036,                0.84028,                 2.3537,                0.71426,                0.07598,                0.11373,                0.08158,                 1.1172,                 1.3417,                 1.3582,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.0127,                0.83675,                   1.11,                 0.6781,                0.09664,                0.14168,                0.10817,                 1.0862,                 1.3438,                 1.3231,             0.00021235,             0.00021235,             0.00021235
                     45,                0.99225,                0.85448,                 1.2104,                0.61432,                0.14836,                0.18022,                0.12841,                 1.0767,                 1.2803,                 1.3359,             0.00018406,             0.00018406,             0.00018406
                     46,                0.99946,                0.80257,                 1.1036,                0.69749,                0.12017,                0.16822,                0.11932,                 1.1005,                 1.3526,                 1.3559,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.0017,                0.78476,                 1.0918,                0.74623,                0.15583,                 0.2032,                0.14039,                 1.0806,                 1.3451,                 1.3244,             0.00012747,             0.00012747,             0.00012747
                     48,                0.98958,                0.74894,                 1.0855,                 0.6994,                0.12486,                0.17299,                0.12858,                 1.0802,                 1.2812,                 1.3217,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.99463,                0.73455,                 1.0805,                0.59833,                0.08528,                0.13273,                0.09621,                 1.0765,                  1.295,                 1.3192,             7.0878e-05,             7.0878e-05,             7.0878e-05
