                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7231,                 2.6419,                 1.3734,                      0,                      0,                      0,                      0,                 1.2631,                 2.9608,                 1.1151,             0.00046575,             0.00046575,             0.00046575
                      2,                  1.389,                 1.5646,                 1.1293,                0.80197,                0.19297,                0.50623,                0.35481,                 1.2528,                 1.9894,                 1.1724,             0.00093275,             0.00093275,             0.00093275
                      3,                 1.3148,                 1.3173,                 1.0945,                0.62546,                0.38974,                0.50006,                0.33555,                 1.3062,                 1.9738,                 1.2842,              0.0013903,              0.0013903,              0.0013903
                      4,                 1.2823,                 1.2337,                 1.0989,                 0.7379,                0.56025,                0.66954,                0.42098,                 1.2345,                 1.5292,                  1.209,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2824,                 1.0936,                 1.0612,                0.72545,                0.34029,                0.53794,                0.35382,                  1.361,                 1.7269,                 1.2737,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2771,                 1.0532,                 1.0817,                0.76408,                0.64867,                0.71394,                0.47452,                 1.2139,                  1.126,                 1.1735,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2625,                 1.0153,                 1.0564,                 0.6758,                0.61029,                0.61769,                0.41317,                 1.2432,                 1.0353,                 1.1556,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2364,                0.97269,                 1.0664,                0.75438,                 0.7348,                0.77233,                0.51625,                 1.1647,                0.95206,                   1.14,                0.00133,                0.00133,                0.00133
                      9,                  1.208,                0.93748,                 1.0515,                0.73551,                0.64248,                0.72275,                0.47752,                 1.1947,                 0.9251,                 1.1453,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2122,                0.90446,                 1.0452,                0.80669,                0.66218,                0.75941,                0.50848,                 1.1751,                0.88436,                 1.1436,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2305,                0.86622,                 1.0615,                0.77629,                0.74248,                 0.7858,                0.52538,                 1.1965,                0.86088,                 1.1493,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2272,                0.84422,                 1.0346,                0.84787,                0.75622,                 0.8349,                0.57117,                 1.1344,                0.78265,                 1.1246,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.1883,                0.83647,                 1.0234,                0.80494,                0.75765,                0.80506,                0.53976,                 1.1487,                0.84438,                 1.1197,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.1788,                0.81441,                 1.0279,                  0.807,                0.75907,                0.82932,                0.54462,                 1.1719,                0.80456,                 1.1319,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.1672,                0.77466,                 1.0319,                0.84645,                0.70926,                 0.8095,                0.57858,                 1.0926,                0.76394,                    1.1,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1703,                0.79204,                 1.0379,                0.82417,                0.73875,                0.80701,                0.55381,                 1.1977,                0.80727,                 1.1225,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1629,                0.76519,                 1.0325,                 0.8517,                0.75562,                0.81554,                0.57229,                 1.0899,                0.76618,                 1.1063,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.1447,                0.75977,                 1.0267,                0.82637,                0.76782,                0.81419,                0.54226,                  1.135,                0.75551,                 1.0973,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.1459,                0.73727,                 1.0179,                0.85218,                0.70751,                0.82207,                0.55701,                 1.1472,                0.72352,                 1.1095,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.1558,                0.75007,                 1.0205,                 0.8211,                0.78968,                 0.8221,                0.55548,                 1.1446,                0.71469,                 1.1299,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.1412,                0.74202,                 1.0277,                0.83568,                0.78672,                0.83788,                0.56828,                 1.1173,                0.70473,                 1.1056,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.1248,                0.71379,                 1.0079,                0.81799,                0.78798,                0.83562,                0.56881,                  1.106,                0.71986,                 1.0799,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.1043,                0.69088,                 1.0036,                0.83295,                0.80656,                0.85339,                0.59845,                 1.0728,                0.66893,                 1.0851,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.1278,                0.71143,                 1.0091,                0.87733,                0.73958,                0.82838,                0.56854,                 1.1532,                0.71293,                 1.1292,              0.0011036,              0.0011036,              0.0011036
