                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9079,                 2.5473,                 1.2513,                0.56298,                0.10753,                0.13216,                0.07343,                 1.4004,                 1.5473,                 1.0639,             0.00047092,             0.00047092,             0.00047092
                      2,                 1.4625,                 1.2503,                 1.0027,                0.41062,                0.12773,                 0.1345,                0.07377,                 1.3243,                 1.0727,                0.99651,              0.0009285,              0.0009285,              0.0009285
                      3,                 1.4452,                 1.1472,                0.99684,                0.47281,                0.10935,                 0.1213,                0.06524,                 1.3648,                 1.0438,                 1.0279,              0.0013672,              0.0013672,              0.0013672
                      4,                 1.4106,                 1.0746,                 1.0012,                0.50686,                0.14343,                0.14712,                0.08263,                  1.251,                  1.014,                0.97013,              0.0013441,              0.0013441,              0.0013441
                      5,                  1.309,                0.96988,                 0.9778,                0.64158,                0.16721,                0.16783,                0.08963,                 1.2269,                0.81291,                0.97557,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.2873,                0.95169,                0.97276,                0.66428,                0.13736,                0.16894,                0.10275,                 1.2133,                0.87716,                0.97133,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.2961,                0.92346,                0.96405,                0.74104,                0.10061,                0.11787,                0.06999,                 1.2871,                 0.7821,                 1.0012,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.2772,                 0.9032,                0.96209,                0.66368,                0.11351,                0.12736,                0.08059,                 1.2004,                0.82335,                0.95258,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2883,                0.89334,                0.95813,                0.78849,                 0.1447,                0.16683,                0.09675,                 1.1834,                0.73827,                 0.9483,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.2401,                0.83375,                 0.9491,                0.68007,                0.10979,                0.12584,                0.07983,                 1.2226,                0.73633,                0.96976,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.2331,                0.81745,                0.95393,                0.73617,                0.13414,                0.15767,                0.09269,                 1.1396,                0.72564,                0.94392,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.1818,                0.81156,                0.93759,                 0.6175,                0.15529,                0.18172,                0.10552,                 1.1266,                 0.6658,                 0.9287,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1989,                0.78085,                0.94728,                 0.6064,                0.12035,                0.13878,                0.07602,                 1.2366,                0.70328,                0.96391,              0.0010895,              0.0010895,              0.0010895
