                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94749,                0.46741,                 0.9375,                0.55733,                0.10863,                0.14465,                0.10618,                 1.0718,                0.56275,                 1.0448,               0.000467,               0.000467,               0.000467
                     36,                0.91526,                0.44021,                0.94106,                0.57662,                0.13461,                0.18494,                 0.1308,                 1.0408,                0.51583,                 1.0464,              0.0004387,              0.0004387,              0.0004387
                     37,                0.90199,                0.42732,                 0.9225,                0.81138,                0.14352,                0.21869,                0.15412,                 1.0498,                0.52489,                 1.0338,             0.00041041,             0.00041041,             0.00041041
                     38,                0.89768,                0.41654,                0.91463,                0.85966,                0.09188,                0.19254,                0.14876,                 1.0402,                0.50122,                 1.0303,             0.00038211,             0.00038211,             0.00038211
                     39,                0.87392,                0.40159,                0.91689,                0.74346,                0.09785,                0.21422,                0.16249,                 1.0357,                0.51584,                 1.0168,             0.00035382,             0.00035382,             0.00035382
                     40,                0.86473,                0.40983,                0.91189,                 0.9145,                0.10152,                0.19401,                0.14918,                 1.0554,                0.50879,                 1.0385,             0.00032553,             0.00032553,             0.00032553
                     41,                0.96388,                 0.4395,                0.94794,                0.82989,                0.10106,                0.18182,                0.14469,                  1.026,                0.51902,                 1.0239,             0.00029723,             0.00029723,             0.00029723
                     42,                0.94989,                0.42603,                 0.9323,                0.74201,                0.11117,                0.21403,                0.16159,                  1.021,                0.52647,                 1.0134,             0.00026894,             0.00026894,             0.00026894
                     43,                0.93348,                0.41847,                0.93038,                 0.8594,                0.15206,                0.22632,                0.16234,                 1.0166,                0.50384,                 1.0172,             0.00024064,             0.00024064,             0.00024064
                     44,                0.92512,                0.41016,                0.92999,                0.76382,                0.15205,                0.20403,                0.14878,                 1.0088,                 0.5262,                 1.0124,             0.00021235,             0.00021235,             0.00021235
                     45,                0.93999,                0.41477,                 0.9859,                0.72494,                0.17634,                0.22784,                0.16011,                 1.0276,                0.52616,                 1.0469,             0.00018406,             0.00018406,             0.00018406
                     46,                0.91333,                0.40058,                0.95734,                0.76879,                 0.1493,                0.20947,                0.14908,                 1.0004,                0.51833,                  1.035,             0.00015576,             0.00015576,             0.00015576
                     47,                0.93594,                0.40198,                0.97974,                0.76162,                0.12034,                0.20468,                 0.1546,                 1.0167,                0.53381,                 1.0358,             0.00012747,             0.00012747,             0.00012747
                     48,                0.90674,                0.39886,                0.94077,                0.89195,                0.16537,                0.25658,                0.19053,                  1.003,                0.52125,                 1.0317,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.89785,                0.38535,                0.93718,                0.89179,                0.15157,                0.22868,                0.16686,                 1.0038,                0.50914,                 1.0323,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.89301,                0.38605,                 0.9305,                0.83965,                 0.1625,                0.24893,                0.18322,                 1.0114,                0.50506,                 1.0352,             4.2584e-05,             4.2584e-05,             4.2584e-05
